A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
278,0.017838398,0.083492776,0.096794761,0.111957125,0.129154958,,,,,,,,
279,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
280,0.109371795,0.126228943,0.038331122,0.044789623,0.052277175,,,,,,,,
281,0.061107939,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
282,0.078982846,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
283,0.031176102,0.036474761,0.652996484,0.688837418,0.722549346,,,,,,,,
284,0.042888304,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
286,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
287,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
288,0.019716465,0.023113923,0.027080644,0.122508239,0.037091299,,,,,,,,
289,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
290,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
291,0.061107939,0.071120339,0.082628872,0.024248816,0.028404639,,,,,,,,
292,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
293,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
294,0.039535979,0.046187738,0.013184523,0.015474192,0.018154177,,,,,,,,
295,0.033555775,0.14832213,0.896450475,0.910588839,0.737527884,,,,,,,,
296,0.018280167,0.02143554,0.025121631,0.029422529,0.034433746,,,,,,,,
297,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
298,0.027995577,0.032771963,0.038331122,0.044789623,0.699781967,,,,,,,,
299,0.073420543,0.085267123,0.098821314,0.958749418,0.865096063,,,,,,,,
300,0.078982846,0.091638156,0.027080644,0.031706023,0.037091299,,,,,,,,
301,0.066412637,0.077222713,0.089623442,0.026443942,0.030964034,,,,,,,,
302,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
303,0.039535979,0.046187738,0.013184523,0.015474192,0.018154177,,,,,,,,
304,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
305,0.061107939,0.071120339,0.082628872,0.024248816,0.028404639,,,,,,,,
306,0.039535979,0.046187738,0.013184523,0.015474192,0.018154177,,,,,,,,
307,0.019716465,0.023113923,0.027080644,0.122508239,0.037091299,,,,,,,,
308,0.066412637,0.077222713,0.089623442,0.103791547,0.119904418,,,,,,,,
309,0.061107939,0.071120339,0.082628872,0.095807609,0.028404639,,,,,,,,
310,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
312,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
313,0.03629459,0.042425088,0.012076415,0.014176411,0.01663543,,,,,,,,
314,0.052627286,0.061340933,0.071388606,0.082936674,0.096159357,,,,,,,,
